New Hero Upgrade Costs
# Common
Level  | Lorbs   | Qredits
2      | 100     | 400
3      | 300     | 1,200
4      | 600     | 2,400
5      | 1,000   | 4,000
6      | 1,500   | 6,000
7      | 2,500   | 10,000
8      | 4,000   | 16,000
9      | 6,000   | 24,000
10     | 9,000   | 36,000
--------------------------
Total  | 25,000  | 100,000
# Rare
Level  | Lorbs   | Qredits
2      | 100     | 600
3      | 300     | 1,800
4      | 600     | 3,600
5      | 1,000   | 6,000
6      | 1,500   | 9,000
7      | 2,500   | 15,000
8      | 4,000   | 24,000
9      | 6,000   | 36,000
10     | 9,000   | 54,000
--------------------------
Total  | 25,000  | 150,000
# Epic
Level  | Lorbs   | Qredits
2      | 100     | 800
3      | 300     | 2,400
4      | 600     | 4,800
5      | 1,000   | 8,000
6      | 1,500   | 12,000
7      | 2,500   | 20,000
8      | 4,000   | 32,000
9      | 6,000   | 48,000
10     | 9,000   | 72,000
--------------------------
Total  | 25,000  | 200,000
